timestamp,agent.name,rule.mitre.id,rule.mitre.tactic,rule.description,rule.level,rule.id,rule.mitre.technique
"Aug 02, 2025 @ 09:36:38.000",debian,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 09:51:53.000",wazuh-agent,['T1110'],['Credential Access'],PAM: Multiple failed logins in a small period of time.,10,5551,['Brute Force']
"Aug 02, 2025 @ 08:00:09.000",wazuh-agent,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 16:03:48.000",prod-node1,['T1110'],['Credential Access'],PAM: Multiple failed logins in a small period of time.,10,5551,['Brute Force']
"Aug 02, 2025 @ 10:57:10.000",wazuh-agent,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 15:51:30.000",wazuh-agent,['T1609'],['Defense Evasion'],PAM misconfiguration: cannot open shared object.,4,5553,['Container Administration Command']
"Aug 02, 2025 @ 15:27:45.000",ubuntu,['T1110'],['Credential Access'],PAM: Multiple failed logins in a small period of time.,10,5551,['Brute Force']
"Aug 02, 2025 @ 15:55:50.000",debian,['T1110'],['Credential Access'],PAM: Multiple failed logins in a small period of time.,10,5551,['Brute Force']
"Aug 02, 2025 @ 08:27:46.000",debian,['T1609'],['Defense Evasion'],PAM misconfiguration: cannot open shared object.,4,5553,['Container Administration Command']
"Aug 02, 2025 @ 08:41:03.000",ubuntu,['T1609'],['Defense Evasion'],PAM misconfiguration: illegal module type.,4,5554,['Container Administration Command']
"Aug 02, 2025 @ 11:24:06.000",wazuh-agent,['T1609'],['Defense Evasion'],PAM misconfiguration: cannot open shared object.,4,5553,['Container Administration Command']
"Aug 02, 2025 @ 09:10:50.000",wazuh-agent,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 16:20:51.000",centos,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 16:32:35.000",ubuntu,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 16:13:12.000",prod-node1,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 17:04:02.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 11:55:16.000",debian,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 08:16:00.000",wazuh-agent,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 10:20:28.000",ubuntu,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 09:06:03.000",wazuh-agent,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 10:50:40.000",prod-node1,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 09:23:44.000",ubuntu,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 13:25:29.000",ubuntu,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 11:04:51.000",debian,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 15:19:47.000",debian,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 11:18:30.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 08:51:36.000",debian,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 17:12:41.000",prod-node1,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 16:12:04.000",centos,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 09:06:03.000",centos,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 14:45:36.000",ubuntu,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 13:29:43.000",debian,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 12:44:34.000",prod-node1,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 10:41:15.000",wazuh-agent,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 08:13:20.000",ubuntu,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 10:57:21.000",prod-node1,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 17:25:58.000",debian,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 16:21:06.000",prod-node1,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 13:19:27.000",wazuh-agent,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 14:50:29.000",centos,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 17:06:44.000",debian,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 11:46:21.000",ubuntu,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 09:43:36.000",wazuh-agent,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 14:04:01.000",ubuntu,['T1609'],['Defense Evasion'],PAM misconfiguration: cannot open shared object.,4,5553,['Container Administration Command']
"Aug 02, 2025 @ 16:51:38.000",wazuh-agent,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 15:02:41.000",ubuntu,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 15:35:33.000",ubuntu,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 12:01:06.000",prod-node1,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 10:29:33.000",centos,['T1609'],['Defense Evasion'],PAM misconfiguration: cannot open shared object.,4,5553,['Container Administration Command']
"Aug 02, 2025 @ 13:27:41.000",debian,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 14:26:37.000",prod-node1,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 14:52:59.000",wazuh-agent,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 08:35:35.000",debian,['T1110.001'],['Credential Access'],unix_chkpwd: Password check failed.,5,5557,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 14:07:47.000",centos,['T1110.001'],['Credential Access'],unix_chkpwd: Password check failed.,5,5557,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 10:03:17.000",centos,['T1110'],['Credential Access'],PAM: Multiple failed logins in a small period of time.,10,5551,['Brute Force']
"Aug 02, 2025 @ 10:39:37.000",ubuntu,['T1110'],['Credential Access'],PAM: Multiple failed logins in a small period of time.,10,5551,['Brute Force']
"Aug 02, 2025 @ 15:59:03.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 09:37:59.000",wazuh-agent,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 13:59:43.000",debian,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 17:52:29.000",debian,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 12:21:05.000",centos,['T1110.001'],['Credential Access'],unix_chkpwd: Password check failed.,5,5557,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 12:21:17.000",prod-node1,['T1110'],['Credential Access'],PAM: Multiple failed logins in a small period of time.,10,5551,['Brute Force']
"Aug 02, 2025 @ 13:25:40.000",prod-node1,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 14:56:30.000",ubuntu,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 09:11:22.000",ubuntu,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 11:06:20.000",centos,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 12:48:58.000",ubuntu,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 14:45:16.000",wazuh-agent,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 16:03:35.000",centos,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 16:27:36.000",ubuntu,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 12:29:20.000",wazuh-agent,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 16:43:32.000",ubuntu,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 13:54:38.000",ubuntu,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 14:45:28.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 11:59:57.000",ubuntu,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 09:33:08.000",centos,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 08:13:13.000",wazuh-agent,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 08:41:06.000",ubuntu,['T1110'],['Credential Access'],PAM: Multiple failed logins in a small period of time.,10,5551,['Brute Force']
"Aug 02, 2025 @ 12:17:45.000",prod-node1,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 11:50:55.000",ubuntu,['T1110'],['Credential Access'],PAM: Multiple failed logins in a small period of time.,10,5551,['Brute Force']
"Aug 02, 2025 @ 11:16:46.000",wazuh-agent,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 12:37:31.000",debian,['T1110.001'],['Credential Access'],unix_chkpwd: Password check failed.,5,5557,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 14:24:30.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 15:20:12.000",ubuntu,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 08:38:54.000",centos,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 08:31:29.000",debian,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 08:38:20.000",centos,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 16:35:33.000",centos,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 09:26:41.000",debian,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 17:09:49.000",wazuh-agent,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 15:13:47.000",debian,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 16:15:17.000",debian,['T1110'],['Credential Access'],PAM: Multiple failed logins in a small period of time.,10,5551,['Brute Force']
"Aug 02, 2025 @ 09:39:22.000",centos,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 14:58:22.000",prod-node1,['T1609'],['Defense Evasion'],PAM misconfiguration: cannot open shared object.,4,5553,['Container Administration Command']
"Aug 02, 2025 @ 10:51:36.000",debian,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 14:00:45.000",wazuh-agent,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 13:32:36.000",debian,['T1110'],['Credential Access'],PAM: Multiple failed logins in a small period of time.,10,5551,['Brute Force']
"Aug 02, 2025 @ 14:50:54.000",wazuh-agent,['T1110.001'],['Credential Access'],unix_chkpwd: Password check failed.,5,5557,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 14:49:16.000",centos,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 14:23:06.000",debian,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 15:44:08.000",wazuh-agent,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 16:51:54.000",centos,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 08:24:05.000",ubuntu,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 08:06:29.000",debian,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 16:21:23.000",wazuh-agent,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 10:11:21.000",centos,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 13:29:15.000",centos,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 10:10:38.000",ubuntu,['T1609'],['Defense Evasion'],PAM misconfiguration: cannot open shared object.,4,5553,['Container Administration Command']
"Aug 02, 2025 @ 08:21:52.000",wazuh-agent,['T1609'],['Defense Evasion'],PAM misconfiguration: cannot open shared object.,4,5553,['Container Administration Command']
"Aug 02, 2025 @ 17:47:48.000",prod-node1,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 16:26:37.000",prod-node1,['T1078'],['Persistence'],PAM: Login session closed.,3,5502,['Valid Accounts']
"Aug 02, 2025 @ 13:36:53.000",centos,['T1110.001'],['Credential Access'],PAM: Attempt to login with an invalid user.,5,5504,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 15:34:56.000",debian,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 14:18:46.000",ubuntu,['T1110.001'],['Credential Access'],unix_chkpwd: Password check failed.,5,5557,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 11:28:31.000",ubuntu,['T1110.001'],['Credential Access'],unix_chkpwd: Password check failed.,5,5557,['Brute Force: Password Guessing']
"Aug 02, 2025 @ 09:40:06.000",centos,['T1098'],['Persistence'],PAM: User changed password.,3,5555,['Account Manipulation']
"Aug 02, 2025 @ 17:14:08.000",prod-node1,['T1609'],['Defense Evasion'],PAM misconfiguration: illegal module type.,4,5554,['Container Administration Command']
"Aug 02, 2025 @ 08:58:02.000",debian,['T1078'],"['Persistence', 'Privilege Escalation', 'Defense Evasion']",PAM: Login session opened.,3,5501,['Valid Accounts']
"Aug 02, 2025 @ 09:16:10.000",prod-node1,['T1609'],['Defense Evasion'],PAM misconfiguration: cannot open shared object.,4,5553,['Container Administration Command']
"Aug 02, 2025 @ 09:16:01.000",centos,['T1110.001'],['Credential Access'],PAM: User login failed.,5,5503,['Brute Force: Password Guessing']
